"Source","Target","Weight"
"101186707918111","101437155334231",2
"101186707918111","101978364950403",1
"101186707918111","102585367941782",1
"101186707918111","102666038058216",1
"101186707918111","103851738062097",1
"101186707918111","104097804720385",1
"101186707918111","104526717942052",1
"101186707918111","104649224289542",1
"101186707918111","106123711126965",1
"101186707918111","107136031024264",3
"101186707918111","110072987277396",4
"101186707918111","114617610279553",1
"101186707918111","1151307804",2
"101186707918111","116659288370219",1
"101186707918111","124203264770003",1
"101186707918111","134065280477943",1
"101186707918111","1452786531692182",7
"101186707918111","146971689016820",6
"101186707918111","1528356897406418",3
"101186707918111","205232028040930",1
"101186707918111","225874137447967",1
"101186707918111","2437830799612513",1
"101186707918111","246782472675139",1
"101186707918111","261460981135418",1
"101186707918111","284319041626974",1
"101186707918111","597735127395588",1
"101186707918111","649508832548098",3
"101186707918111","AbogadosAntifem",31
"101186707918111","ActualidadRT",1
"101186707918111","AserrinAserranMX",1
"101186707918111","AxionMexico",1
"101186707918111","CarlosRamOficial",11
"101186707918111","ConservadorCristiano",6
"101186707918111","Desinformemonos",1
"101186707918111","Eusebivs",1
"101186707918111","FemichairosReloaded",1
"101186707918111","FemirulaRadikal",2
"101186707918111","GodSciencesite",1
"101186707918111","GraciayVerdadPy",1
"101186707918111","ICMnoticias",1
"101186707918111","JoaquinLopezDoriga",1
"101186707918111","JovenProvidaMx",1
"101186707918111","LibertadSinFeminismoMarxismoComunismo",1
"101186707918111","LibertarioAlex",1
"101186707918111","MasculinismoMexicoOficial",1
"101186707918111","MovFemenino14e",2
"101186707918111","MovimientoPorLosDerechosDelHombre",1
"101186707918111","NadieMenos.org",1
"101186707918111","PastorEniorJosue",5
"101186707918111","ProyectoLeyAlejo",1
"101186707918111","RescatandoPrincipios",1
"101186707918111","SalvemosLaFamilia.org",1
"101186707918111","angelcheme21",1
"101186707918111","angelmtzgtzz",4
"101186707918111","antifeministwarrior",2
"101186707918111","antifemprensa",5
"101186707918111","capitalismoparalospobres",1
"101186707918111","comandoprovida",4
"101186707918111","cruzadaporlafamilia.chihuahua",2
"101186707918111","elrincondelaapologetica",1
"101186707918111","enfoquedeigualdadac",1
"101186707918111","eprovida",2
"101186707918111","hispanolibertario",3
"101186707918111","hombresmaltratadosporlaley",1
"101186707918111","maslibertadcolombia",2
"101186707918111","metrotacubaya",1
"101186707918111","mxmareaverde",1
"101186707918111","nadiemenoscentroamerica",3
"101186707918111","nuevamujerlatam",1
"101186707918111","nuevosbardos",2
"101186707918111","progressiendoprogres",1
"101186707918111","romagallardoofficial",1
"101186707918111","terceraviamx",1
"101437155334231","101156701781525",2
"101765568508525","100910872148882",1
"101765568508525","101440828771024",2
"101765568508525","102271447862405",1
"101765568508525","102541658659653",8
"101765568508525","103378981769251",2
"101765568508525","104360451324610",1
"101765568508525","104382381596681",2
"101765568508525","106716857621638",2
"101765568508525","106750027637413",1
"101765568508525","107606390996576",1
"101765568508525","108705421475792",1
"101765568508525","109427463984702",1
"101765568508525","110155717214287",2
"101765568508525","115511387301315",2
"101765568508525","1159660827413782",1
"101765568508525","116579650246397",1
"101765568508525","124203264770003",2
"101765568508525","1501082676782270",1
"101765568508525","1779782842325652",1
"101765568508525","210349435797794",7
"101765568508525","309939693565023",1
"101765568508525","369035546445625",1
"101765568508525","379599672639998",2
"101765568508525","769802186472953",1
"101765568508525","796750430718747",1
"101765568508525","ArgentinosPorLaVida",1
"101765568508525","BimagoCinico",9
"101765568508525","CazaMachitos666",2
"101765568508525","ColectivoAntifeminista",1
"101765568508525","DefensoresDeMamas",1
"101765568508525","DerechosDelHombrePorIgualdad",5
"101765568508525","ElAntifeministaBAF",2
"101765568508525","ElPatriarcaDice",1
"101765568508525","ElPatriarcad0",1
"101765568508525","FemirulaRadikal",3
"101765568508525","HijosdePerseo",6
"101765568508525","HombresDeHierro",9
"101765568508525","LauraTuMejorAmiga",1
"101765568508525","LegionPensante",2
"101765568508525","LibertarioAlex",1
"101765568508525","MareaVerdeMx",1
"101765568508525","MarinaPatriarcal",2
"101765568508525","MasculinismoMexicoOficial",2
"101765568508525","Masculinismofree",3
"101765568508525","MedProChoice",1
"101765568508525","MemesRobadosPaLaBanda",1
"101765568508525","Mr.Masculinista",4
"101765568508525","NadieMenos.org",1
"101765568508525","PassThorOficial",1
"101765568508525","ProyectoLeyAlejo",1
"101765568508525","SVOpina",3
"101765568508525","SupraColectivo",5
"101765568508525","TruePensamientocritico",3
"101765568508525","VIFAC",1
"101765568508525","antifeminismo2",7
"101765568508525","asocmaltratados",5
"101765568508525","comandoprovida",1
"101765568508525","eldemoledorcriticaalfeminismo",2
"101765568508525","factsmen",5
"101765568508525","frentejoven",1
"101765568508525","geneprovidalatino",9
"101765568508525","incorreccionpol",1
"101765568508525","lamadrinadelpatriarcado",1
"101765568508525","mariocastro666",1
"101765568508525","maslibertadcolombia",1
"101765568508525","misteriomundialcom",1
"101765568508525","mundoprogre",1
"101765568508525","nadiemenoscentroamerica",1
"101765568508525","nimachismonifeminismoigualdadjusticia",2
"101765568508525","progressiendoprogres",4
"101765568508525","provida.de.por.vida",2
"101765568508525","u.provida",1
"101765568508525","varonesunidos5",4
"1027785660759723","106534119449870",3
"1027785660759723","1151307804",1
"1027785660759723","153080620724",3
"1027785660759723","1572729122955195",1
"1027785660759723","1587095664752936",1
"1027785660759723","261460981135418",10
"1027785660759723","40diasxlavidagt",1
