"link","post_url","account_handle","account_name","account_url","account_page_admin_top_country","links","expanded_links","post_url_1","link_1","country","Csm"
"https://www.facebook.com/101765568508525/photos/a.216991396985941/304605344891212/?type=3","https://www.facebook.com/101765568508525/posts/304605344891212",NA,"Memes y shitpost antifeminista","https://www.facebook.com/101765568508525","MX","https://www.facebook.com/101765568508525/photos/a.216991396985941/304605344891212/?type=3","https://www.facebook.com/101765568508525/photos/a.216991396985941/304605344891212/?type=3","101765568508525/","101765568508525/photos","MEX","N.D"
NA,"https://www.facebook.com/groups/1606815329554276/permalink/3047943568774771",NA,"ABORTO NUNCA MÁS, MÉXICO","https://www.facebook.com/groups/1606815329554276",NA,NA,NA,"groups/1606815329554276","/","MEX","N.D"
"https://www.facebook.com/comunismocaviar/photos/a.2171245862896772/2850806924940659/?type=3","https://www.facebook.com/groups/975946939153291/permalink/2747747565306544",NA,""" PRO FAMILIA , PRO VIDA INTERNACIONAL""","https://www.facebook.com/groups/975946939153291",NA,"https://www.facebook.com/comunismocaviar/photos/a.2171245862896772/2850806924940659/?type=3","https://www.facebook.com/comunismocaviar/photos/a.2171245862896772/2850806924940659/?type=3","groups/975946939153291","comunismocaviar/photos","PER","MUNDO"
NA,"https://www.facebook.com/groups/1606815329554276/permalink/2810381015864362",NA,"ABORTO NUNCA MÁS, MÉXICO","https://www.facebook.com/groups/1606815329554276",NA,NA,NA,"groups/1606815329554276","/","MEX","N.D"
NA,"https://www.facebook.com/groups/2437830799612513/permalink/3424897194239197",NA,"CATÓLICOS CONTRA EL ABORTO Y LA IDEOLOGÍA DE GÉNERO","https://www.facebook.com/groups/2437830799612513",NA,NA,NA,"groups/2437830799612513","/",NA,"N.D"
"https://www.facebook.com/1224380374371744/photos/a.1224849110991537/1664696040340173/?type=3","https://www.facebook.com/groups/1606815329554276/permalink/2680913212144477",NA,"ABORTO NUNCA MÁS, MÉXICO","https://www.facebook.com/groups/1606815329554276",NA,"https://www.evangelizacion.org.mx/enlabrecha/|https://www.facebook.com/1224380374371744/photos/a.1224849110991537/1664696040340173/?type=3","https://www.evangelizacion.org.mx/enlabrecha/|https://www.facebook.com/1224380374371744/photos/a.1224849110991537/1664696040340173/?type=3","groups/1606815329554276","1224380374371744/photos","MEX","INT"
"https://www.lifenews.com/2021/02/01/honduras-makes-its-abortion-ban-permanent-all-human-beings-have-a-right-to-life/","https://www.facebook.com/groups/1606815329554276/permalink/2998016590434136",NA,"ABORTO NUNCA MÁS, MÉXICO","https://www.facebook.com/groups/1606815329554276",NA,"https://www.lifenews.com/2021/02/01/honduras-makes-its-abortion-ban-permanent-all-human-beings-have-a-right-to-life/","https://www.lifenews.com/2021/02/01/honduras-makes-its-abortion-ban-permanent-all-human-beings-have-a-right-to-life/","groups/1606815329554276","2021/02","MEX","HND"
"https://www.facebook.com/photo.php?fbid=3137802623121060&set=p.3137802623121060&type=3","https://www.facebook.com/groups/260647194652193/permalink/771897623527145",NA,"Salvemos las dos vidas💙","https://www.facebook.com/groups/260647194652193",NA,"https://www.facebook.com/photo.php?fbid=3137802623121060&set=p.3137802623121060&type=3","https://www.facebook.com/photo.php?fbid=3137802623121060&set=p.3137802623121060&type=3","groups/260647194652193","photo.php?fbid=3137802623121060&set=p.3137802623121060&type=3/",NA,"N.D"
NA,"https://www.facebook.com/groups/2437830799612513/permalink/4029741173754793",NA,"CATÓLICOS CONTRA EL ABORTO Y LA IDEOLOGÍA DE GÉNERO","https://www.facebook.com/groups/2437830799612513",NA,NA,NA,"groups/2437830799612513","/",NA,"N.D"
"https://www.facebook.com/eugeniomasias/videos/347326556621399/","https://www.facebook.com/groups/975946939153291/permalink/3369650676449560",NA,""" PRO FAMILIA , PRO VIDA INTERNACIONAL""","https://www.facebook.com/groups/975946939153291",NA,"www.paypal.me/eugeniomasiasecuador|https://www.facebook.com/eugeniomasias/videos/347326556621399/","www.paypal.me/eugeniomasiasecuador|https://www.facebook.com/eugeniomasias/videos/347326556621399/","groups/975946939153291","eugeniomasias/videos","PER","INT"
"https://www.facebook.com/LaFilosofiaRedPill/photos/a.105067657541383/662683485113128/?type=3","https://www.facebook.com/105025290878953/posts/662683548446455","LaFilosofiaRedPill","La filosofía Red Pill","https://www.facebook.com/105025290878953","BO","https://www.facebook.com/LaFilosofiaRedPill/photos/a.105067657541383/662683485113128/?type=3","https://www.facebook.com/LaFilosofiaRedPill/photos/a.105067657541383/662683485113128/?type=3","105025290878953/","LaFilosofiaRedPill/photos","BOL","N.D"
